,lat,lon,landmask,pv_land_cover_urban_high,wind_land_cover_urban_medium_high,fed_and_state_protected,wind_slope_over_20p,config
35592,40.33151,-104.252686,1.0,0,0,0,0,def
35593,40.366093,-104.152985,1.0,0,0,0,0,def
35594,40.40058,-104.05318,1.0,0,0,0,0,def
35595,40.43498,-103.95325,1.0,0,0,0,0,def
35596,40.469276,-103.85321,1.0,0,0,0,0,def
35597,40.503498,-103.75308,1.0,0,0,0,0,def
35598,40.537617,-103.65283,1.0,0,0,0,0,def
35599,40.571636,-103.55246,1.0,0,0,0,0,def
35600,40.605568,-103.451965,1.0,0,0,0,0,def
35601,40.6394,-103.35138,1.0,0,0,0,0,def
35602,40.67315,-103.25067,1.0,0,0,0,0,def
35603,40.70679,-103.14987,1.0,0,0,0,0,def
35604,40.740345,-103.04895,1.0,0,0,0,0,def
35605,40.773808,-102.94791,1.0,0,0,0,0,def
35606,40.80716,-102.84674,1.0,0,0,0,0,def
35607,40.84043,-102.74548,1.0,0,0,0,0,def
35608,40.87361,-102.644104,1.0,0,0,0,0,def
35609,40.906685,-102.54263,1.0,0,0,0,0,def
35610,40.939667,-102.44104,1.0,0,0,0,0,def
35611,40.972553,-102.339325,1.0,0,0,0,0,def
35612,41.00534,-102.23752,1.0,0,0,0,0,def
35613,41.038033,-102.13559,1.0,0,0,0,0,def
35614,41.07063,-102.03354,1.0,0,0,0,0,def
35615,41.103123,-101.9314,1.0,0,0,0,0,def
35616,41.135525,-101.82913,1.0,0,0,0,0,def
35617,41.167828,-101.726776,1.0,0,0,0,0,def
35618,41.20004,-101.6243,1.0,0,0,0,0,def
35619,41.232147,-101.52173,1.0,0,0,0,0,def
35620,41.264164,-101.41901,1.0,0,0,0,0,def
35621,41.29608,-101.31622,1.0,0,0,0,0,def
35622,41.327896,-101.21329,1.0,0,0,0,0,def
35623,41.359608,-101.11029,1.0,0,0,0,0,def
35624,41.39123,-101.00714,1.0,0,0,0,0,def
35625,41.422756,-100.9039,1.0,0,0,0,0,def
35626,41.45418,-100.80054,1.0,0,0,0,0,def
35627,41.485508,-100.69708,1.0,0,0,0,0,def
35628,41.516735,-100.59354,1.0,0,0,0,0,def
35629,41.547855,-100.48987,1.0,0,0,0,0,def
35630,41.578884,-100.38608,1.0,0,0,0,0,def
35631,41.60981,-100.282196,1.0,0,0,0,0,def
35632,41.640633,-100.17822,1.0,0,0,0,0,def
35633,41.671364,-100.0741,1.0,0,0,0,0,def
35634,41.701996,-99.96991,1.0,0,0,0,0,def
35635,41.732525,-99.8656,1.0,0,0,0,0,def
35636,41.76295,-99.76117,1.0,0,0,0,0,def
35637,41.79327,-99.65662,1.0,0,0,0,0,def
35638,41.8235,-99.552,1.0,0,0,0,0,def
35639,41.853622,-99.447266,1.0,0,0,0,0,def
35640,30.782993,-123.57567,0.0,0,0,0,0,def
35641,30.833347,-123.50145,0.0,0,0,0,0,def
35642,30.883652,-123.427124,0.0,0,0,0,0,def
35643,30.933914,-123.35271,0.0,0,0,0,0,def
35644,30.98413,-123.27817,0.0,0,0,0,0,def
35645,31.034275,-123.20352,0.0,0,0,0,0,def
35646,31.084396,-123.12877,0.0,0,0,0,0,def
35647,31.134449,-123.05391,0.0,0,0,0,0,def
35648,31.18446,-122.97893,0.0,0,0,0,0,def
35649,31.234428,-122.903854,0.0,0,0,0,0,def
35650,31.284336,-122.82866,0.0,0,0,0,0,def
35651,31.33419,-122.75336,0.0,0,0,0,0,def
35652,31.38401,-122.67795,0.0,0,0,0,0,def
35653,31.433762,-122.60242,0.0,0,0,0,0,def
35654,31.483463,-122.526794,0.0,0,0,0,0,def
35655,31.53312,-122.45105,0.0,0,0,0,0,def
35656,31.582733,-122.3752,0.0,0,0,0,0,def
35657,31.632278,-122.299225,0.0,0,0,0,0,def
35658,31.681786,-122.22316,0.0,0,0,0,0,def
35659,31.731228,-122.14697,0.0,0,0,0,0,def
