gid,config
0,def
1,def
2,def
3,def
4,def
5,def
6,def
7,def
8,def
9,def
10,def
11,def
12,def
13,def
14,def
15,def
16,def
17,def
18,def
19,def
20,def
21,def
22,def
23,def
24,def
25,def
26,def
27,def
28,def
29,def
30,def
31,def
32,def
33,def
34,def
35,def
36,def
37,def
38,def
39,def
40,def
41,def
42,def
43,def
44,def
45,def
46,def
47,def
48,def
49,def
50,def
51,def
52,def
53,def
54,def
55,def
56,def
57,def
58,def
59,def
60,def
61,def
78,def
79,def
80,def
81,def
82,def
83,def
84,def
85,def
86,def
87,def
88,def
89,def
90,def
91,def
92,def
93,def
94,def
95,def
96,def
97,def
98,def
99,def
100,def
270,def
271,def
272,def
273,def
274,def
275,def
276,def
277,def
278,def
279,def
280,def
281,def
282,def
283,def
284,def
285,def
286,def
287,def
288,def
289,def
290,def
291,def
292,def
293,def
294,def
295,def
296,def
297,def
298,def
299,def
300,def
301,def
302,def
303,def
304,def
305,def
306,def
307,def
308,def
309,def
310,def
311,def
312,def
313,def
314,def
315,def
316,def
317,def
318,def
319,def
320,def
321,def
322,def
323,def
324,def
325,def
326,def
327,def
328,def
329,def
330,def
331,def
348,def
349,def
350,def
351,def
352,def
353,def
354,def
355,def
356,def
357,def
358,def
359,def
360,def
361,def
362,def
363,def
364,def
365,def
366,def
367,def
368,def
369,def
370,def
540,def
541,def
542,def
543,def
544,def
545,def
546,def
547,def
548,def
549,def
550,def
551,def
552,def
553,def
554,def
555,def
556,def
557,def
558,def
559,def
560,def
561,def
562,def
563,def
564,def
565,def
566,def
567,def
568,def
569,def
570,def
571,def
572,def
573,def
574,def
575,def
576,def
577,def
578,def
579,def
580,def
581,def
582,def
583,def
584,def
585,def
586,def
587,def
588,def
589,def
590,def
591,def
592,def
593,def
594,def
595,def
596,def
597,def
598,def
599,def
600,def
601,def
602,def
618,def
619,def
620,def
621,def
622,def
623,def
624,def
625,def
626,def
627,def
628,def
629,def
630,def
631,def
632,def
633,def
634,def
635,def
636,def
637,def
638,def
639,def
640,def
641,def
771,def
810,def
811,def
812,def
813,def
814,def
815,def
816,def
817,def
818,def
819,def
820,def
821,def
822,def
823,def
824,def
825,def
826,def
827,def
828,def
829,def
830,def
831,def
832,def
833,def
834,def
835,def
836,def
837,def
838,def
839,def
840,def
841,def
842,def
843,def
844,def
845,def
846,def
847,def
848,def
849,def
850,def
851,def
852,def
853,def
854,def
855,def
856,def
857,def
858,def
859,def
860,def
861,def
862,def
863,def
864,def
865,def
866,def
867,def
868,def
869,def
870,def
871,def
872,def
873,def
887,def
888,def
889,def
890,def
891,def
892,def
893,def
894,def
895,def
896,def
897,def
898,def
899,def
900,def
901,def
902,def
903,def
904,def
905,def
906,def
907,def
908,def
909,def
910,def
911,def
1080,def
1081,def
1082,def
1083,def
1084,def
1085,def
1086,def
1087,def
1088,def
1089,def
1090,def
1091,def
1092,def
1093,def
1094,def
1095,def
1096,def
1097,def
1098,def
1099,def
1100,def
1101,def
1102,def
1103,def
1104,def
1105,def
1106,def
1107,def
1108,def
1109,def
1110,def
1111,def
1112,def
1113,def
1114,def
1115,def
1116,def
1117,def
1118,def
1119,def
1120,def
1121,def
1122,def
1123,def
1124,def
1125,def
1126,def
1127,def
1128,def
1129,def
1130,def
1131,def
1132,def
1133,def
1134,def
1135,def
1136,def
1137,def
1138,def
1139,def
1140,def
1141,def
1142,def
1143,def
1144,def
1158,def
1159,def
1160,def
1161,def
1162,def
1163,def
1164,def
1165,def
1166,def
1167,def
1168,def
1169,def
1170,def
1171,def
1172,def
1173,def
1174,def
1175,def
1176,def
1177,def
1178,def
1179,def
1180,def
1181,def
1350,def
1351,def
1352,def
1353,def
1354,def
1355,def
1356,def
1357,def
1358,def
1359,def
1360,def
1361,def
1362,def
1363,def
1364,def
1365,def
1366,def
1367,def
1368,def
1369,def
1370,def
1371,def
1372,def
1373,def
1374,def
1375,def
1376,def
1377,def
1378,def
1379,def
1380,def
1381,def
1382,def
1383,def
1384,def
1385,def
1386,def
1387,def
1388,def
1389,def
1390,def
1391,def
1392,def
1393,def
1394,def
1395,def
1396,def
1397,def
1398,def
1399,def
1400,def
1401,def
1402,def
1403,def
1404,def
1405,def
1406,def
1407,def
1408,def
1409,def
1410,def
1411,def
1412,def
1413,def
1414,def
1415,def
1428,def
1429,def
1430,def
1431,def
1432,def
1433,def
1434,def
1435,def
1436,def
1437,def
1438,def
1439,def
1440,def
1441,def
1442,def
1443,def
1444,def
1445,def
1446,def
1447,def
1448,def
1449,def
1450,def
1620,def
1621,def
1622,def
1623,def
1624,def
1625,def
1626,def
1627,def
1628,def
1629,def
1630,def
1631,def
1632,def
1633,def
1634,def
1635,def
1636,def
1637,def
1638,def
1639,def
1640,def
1641,def
1642,def
1643,def
1644,def
1645,def
1646,def
1647,def
1648,def
1649,def
1650,def
1651,def
1652,def
1653,def
1654,def
1655,def
1656,def
1657,def
1658,def
1659,def
1660,def
1661,def
1662,def
1663,def
1664,def
1665,def
1666,def
1667,def
1668,def
1669,def
1670,def
1671,def
1672,def
1673,def
1674,def
1675,def
1676,def
1677,def
1678,def
1679,def
1680,def
1681,def
1682,def
1683,def
1684,def
1685,def
1686,def
1698,def
1699,def
1700,def
1701,def
1702,def
1703,def
1704,def
1705,def
1706,def
1707,def
1708,def
1709,def
1710,def
1711,def
1712,def
1713,def
1714,def
1715,def
1716,def
1717,def
1718,def
1719,def
1720,def
1890,def
1891,def
1892,def
1893,def
1894,def
1895,def
1896,def
1897,def
1898,def
1899,def
1900,def
1901,def
1902,def
1903,def
1904,def
1905,def
1906,def
1907,def
1908,def
1909,def
1910,def
1911,def
1912,def
1913,def
1914,def
1915,def
1916,def
1917,def
1918,def
1919,def
1920,def
1921,def
1922,def
1923,def
1924,def
1925,def
1926,def
1927,def
1928,def
1929,def
1930,def
1931,def
1932,def
1933,def
1934,def
1935,def
1936,def
1937,def
1938,def
1939,def
1940,def
1941,def
1942,def
1943,def
1944,def
1945,def
1946,def
1947,def
1948,def
1949,def
1950,def
1951,def
1952,def
1953,def
1954,def
1955,def
1956,def
1957,def
1968,def
1969,def
1971,def
1972,def
1973,def
1974,def
1975,def
1976,def
1977,def
1978,def
1979,def
1980,def
1981,def
1982,def
1983,def
1984,def
1985,def
1986,def
1987,def
2160,def
2161,def
2162,def
2163,def
2164,def
2165,def
2166,def
2167,def
2168,def
2169,def
2170,def
2171,def
2172,def
2173,def
2174,def
2175,def
2176,def
2177,def
2178,def
2179,def
2180,def
2181,def
2182,def
2183,def
2184,def
2185,def
2186,def
2187,def
2188,def
2189,def
2190,def
2191,def
2192,def
2193,def
2194,def
2195,def
2196,def
2197,def
2198,def
2199,def
2200,def
2201,def
2202,def
2203,def
2204,def
2205,def
2206,def
2207,def
2208,def
2209,def
2210,def
2211,def
2212,def
2213,def
2214,def
2215,def
2216,def
2217,def
2218,def
2219,def
2220,def
2221,def
2222,def
2223,def
2224,def
2225,def
2226,def
2227,def
2238,def
2239,def
2240,def
2241,def
2242,def
2243,def
2244,def
2245,def
2246,def
2247,def
2248,def
2249,def
2250,def
2251,def
2252,def
2253,def
2254,def
