gid,config
1205,def
1206,def
1207,def
1208,def
1209,def
1210,def
1211,def
1212,def
1213,def
1214,def
1215,def
1216,def
1217,def
1218,def
1219,def
1220,def
1221,def
1222,def
1223,def
1224,def
1225,def
1226,def
1227,def
1228,def
1229,def
1230,def
1231,def
1232,def
1233,def
1234,def
1235,def
1236,def
1237,def
1238,def
1239,def
1240,def
1241,def
1242,def
1243,def
1244,def
1245,def
1246,def
1247,def
1248,def
1249,def
1250,def
1251,def
1252,def
1253,def
1254,def
1255,def
1256,def
1257,def
1258,def
1259,def
1260,def
1261,def
1262,def
1263,def
1264,def
1265,def
1266,def
1267,def
1268,def
1269,def
1270,def
1271,def
1272,def
1273,def
1274,def
1275,def
1276,def
1277,def
1278,def
1279,def
1280,def
1281,def
1282,def
1283,def
1284,def
1285,def
1286,def
1287,def
1288,def
1289,def
1290,def
1291,def
1292,def
1293,def
1294,def
1295,def
1296,def
1297,def
1298,def
1299,def
1300,def
1301,def
1302,def
1303,def
1304,def
1305,def
1306,def
1307,def
1308,def
1309,def
1310,def
1311,def
1312,def
1313,def
1314,def
1315,def
1316,def
1317,def
1318,def
1319,def
1320,def
1321,def
1322,def
1323,def
1324,def
1325,def
1326,def
1327,def
1328,def
1329,def
1330,def
1331,def
1332,def
1333,def
1334,def
1335,def
1336,def
1337,def
1338,def
1339,def
1340,def
1341,def
1342,def
1343,def
1344,def
1345,def
1346,def
1347,def
1348,def
1349,def
1416,def
1417,def
1418,def
1419,def
1420,def
1421,def
1422,def
1423,def
1424,def
1425,def
1426,def
1427,def
1451,def
1452,def
1453,def
1454,def
1455,def
1456,def
1457,def
1458,def
1459,def
1460,def
1461,def
1462,def
1463,def
1464,def
1465,def
1466,def
1467,def
1468,def
1469,def
1470,def
1471,def
1472,def
1473,def
1474,def
1475,def
1476,def
1477,def
1478,def
1479,def
1480,def
1481,def
1482,def
1483,def
1484,def
1485,def
1486,def
1487,def
1488,def
1489,def
1490,def
1491,def
1492,def
1493,def
1494,def
1495,def
1496,def
1497,def
1498,def
1499,def
1500,def
1501,def
1502,def
1503,def
1504,def
1505,def
1506,def
1507,def
1508,def
1509,def
1510,def
1511,def
1512,def
1513,def
1514,def
1515,def
1516,def
1517,def
1518,def
1519,def
1520,def
1521,def
1522,def
1523,def
1524,def
1525,def
1526,def
1527,def
1528,def
1529,def
1530,def
1531,def
1532,def
1533,def
1534,def
1535,def
1536,def
1537,def
1538,def
1539,def
1540,def
1541,def
1542,def
1543,def
1544,def
1545,def
1546,def
1547,def
1548,def
1549,def
1550,def
1551,def
1552,def
1553,def
1554,def
1555,def
1556,def
1557,def
1558,def
1559,def
1560,def
1561,def
1562,def
1563,def
1564,def
1565,def
1566,def
1567,def
1568,def
1569,def
1570,def
1571,def
1572,def
1573,def
1574,def
1575,def
1576,def
1577,def
1578,def
1579,def
1580,def
1581,def
1582,def
1583,def
1584,def
1585,def
1586,def
1587,def
1588,def
1589,def
1590,def
1591,def
1592,def
1593,def
1594,def
1595,def
1596,def
1597,def
1598,def
1599,def
1600,def
1601,def
1602,def
1603,def
1604,def
1605,def
1606,def
1607,def
1608,def
1609,def
1610,def
1611,def
1612,def
1613,def
1614,def
1615,def
1616,def
1617,def
1618,def
1619,def
1687,def
1688,def
1689,def
1690,def
1691,def
1692,def
1693,def
1694,def
1695,def
1696,def
1697,def
1721,def
1722,def
1723,def
1724,def
1725,def
1726,def
1727,def
1728,def
1729,def
1730,def
1731,def
1732,def
1733,def
1734,def
1735,def
1736,def
1737,def
1738,def
1739,def
1740,def
1741,def
1742,def
1743,def
1744,def
1745,def
1746,def
1747,def
1748,def
1749,def
1750,def
1751,def
1752,def
1753,def
1754,def
1755,def
1756,def
1757,def
1758,def
1759,def
1760,def
1761,def
1762,def
1763,def
1764,def
1765,def
1766,def
1767,def
1768,def
1769,def
1770,def
1771,def
1772,def
1773,def
1774,def
1775,def
1776,def
1777,def
1778,def
1779,def
1780,def
1781,def
1782,def
1783,def
1784,def
1785,def
1786,def
1787,def
1788,def
1789,def
1790,def
1791,def
1792,def
1793,def
1794,def
1795,def
1796,def
1797,def
1798,def
1799,def
1800,def
1801,def
1802,def
1803,def
1804,def
1805,def
1806,def
1807,def
1808,def
1809,def
1810,def
1811,def
1812,def
1813,def
1814,def
1815,def
1816,def
1817,def
1818,def
1819,def
1820,def
1821,def
1822,def
1823,def
1824,def
1825,def
1826,def
1827,def
1828,def
1829,def
1830,def
1831,def
1832,def
1833,def
1834,def
1835,def
1836,def
1837,def
1838,def
1839,def
1840,def
1841,def
1842,def
1843,def
1844,def
1845,def
1846,def
1847,def
1848,def
1849,def
1850,def
1851,def
1852,def
1853,def
1854,def
1855,def
1856,def
1857,def
1858,def
1859,def
1860,def
1861,def
1862,def
1863,def
1864,def
1865,def
1866,def
1867,def
1868,def
1869,def
1870,def
1871,def
1872,def
1873,def
1874,def
1875,def
1876,def
1877,def
1878,def
1879,def
1880,def
1881,def
1882,def
1883,def
1884,def
1885,def
1886,def
1887,def
1888,def
1889,def
1958,def
1959,def
1960,def
1961,def
