gid,config
2673,def
2674,def
2675,def
2676,def
2677,def
2678,def
2679,def
2680,def
2681,def
2682,def
2683,def
2684,def
2685,def
2686,def
2687,def
2688,def
2689,def
2690,def
2691,def
2692,def
2693,def
2694,def
2695,def
2696,def
2697,def
2698,def
2699,def
2700,def
2701,def
2702,def
2703,def
2704,def
2705,def
2706,def
2707,def
2708,def
2709,def
2710,def
2711,def
2712,def
2713,def
2714,def
2715,def
2716,def
2717,def
2718,def
2719,def
2720,def
2721,def
2722,def
2723,def
2724,def
2725,def
2726,def
2727,def
2728,def
2729,def
2730,def
2731,def
2732,def
2733,def
2734,def
2735,def
2736,def
2916,def
2917,def
2918,def
2919,def
2920,def
2921,def
2922,def
2923,def
2924,def
2925,def
2926,def
2927,def
2928,def
2929,def
2930,def
2931,def
2932,def
2933,def
2934,def
2935,def
2936,def
2937,def
2938,def
2939,def
2940,def
2941,def
2942,def
2943,def
2944,def
2945,def
2946,def
2947,def
2948,def
2949,def
2950,def
2951,def
2952,def
2953,def
2954,def
2955,def
2956,def
2957,def
2958,def
2959,def
2960,def
2961,def
2962,def
2963,def
2964,def
2965,def
2966,def
2967,def
2968,def
2969,def
2970,def
2971,def
2972,def
2973,def
2974,def
2975,def
2976,def
2977,def
2978,def
2979,def
3029,def
3159,def
3160,def
3161,def
3162,def
3163,def
3164,def
3165,def
3166,def
3167,def
3168,def
3169,def
3170,def
3171,def
3172,def
3173,def
3174,def
3175,def
3176,def
3177,def
3178,def
3179,def
3180,def
3181,def
3182,def
3183,def
3184,def
3185,def
3186,def
3187,def
3188,def
3189,def
3190,def
3191,def
3192,def
3193,def
3194,def
3195,def
3196,def
3197,def
3198,def
3199,def
3200,def
3201,def
3202,def
3203,def
3204,def
3205,def
3206,def
3207,def
3208,def
3209,def
3210,def
3211,def
3212,def
3213,def
3214,def
3215,def
3216,def
3217,def
3218,def
3219,def
3220,def
3221,def
3222,def
3402,def
3403,def
3404,def
3405,def
3406,def
3407,def
3408,def
3409,def
3410,def
3411,def
3412,def
3413,def
3414,def
3415,def
3416,def
3417,def
3418,def
3419,def
3420,def
3421,def
3422,def
3423,def
3424,def
3425,def
3426,def
3427,def
3428,def
3429,def
3430,def
3431,def
3432,def
3433,def
3434,def
3435,def
3436,def
3437,def
3438,def
3439,def
3440,def
3441,def
3442,def
3443,def
3444,def
3445,def
3446,def
3447,def
3448,def
3449,def
3450,def
3451,def
3452,def
3453,def
3454,def
3455,def
3456,def
3457,def
3458,def
3459,def
3460,def
3461,def
3462,def
3463,def
3464,def
3465,def
3645,def
3646,def
3647,def
3648,def
3649,def
3650,def
3651,def
3652,def
3653,def
3654,def
3655,def
3656,def
3657,def
3658,def
3659,def
3660,def
3661,def
3662,def
3663,def
3664,def
3665,def
3666,def
3667,def
3668,def
3669,def
3670,def
3671,def
3672,def
3673,def
3674,def
3675,def
3676,def
3677,def
3678,def
3679,def
3680,def
3681,def
3682,def
3683,def
3684,def
3685,def
3686,def
3687,def
3688,def
3689,def
3690,def
3691,def
3692,def
3693,def
3694,def
3695,def
3696,def
3697,def
3698,def
3699,def
3700,def
3701,def
3702,def
3703,def
3704,def
3705,def
3706,def
3707,def
3708,def
3888,def
3889,def
3890,def
3891,def
3892,def
3893,def
3894,def
3895,def
3896,def
3897,def
3898,def
3899,def
3900,def
3901,def
3902,def
3903,def
3904,def
3905,def
3906,def
3907,def
3908,def
3909,def
3910,def
3911,def
3912,def
3913,def
3914,def
3915,def
3916,def
3917,def
3918,def
3919,def
3920,def
3921,def
3922,def
3923,def
3924,def
3925,def
3926,def
3927,def
3928,def
3929,def
3930,def
3931,def
3932,def
3933,def
3934,def
3935,def
3936,def
3937,def
3938,def
3939,def
3940,def
3941,def
3942,def
3943,def
3944,def
3945,def
3946,def
3947,def
3948,def
3949,def
3950,def
3951,def
4131,def
4132,def
4133,def
4134,def
4135,def
4136,def
4137,def
4138,def
4139,def
4140,def
4141,def
4142,def
4143,def
4144,def
4145,def
4146,def
4147,def
4148,def
4149,def
4150,def
4151,def
4152,def
4153,def
4154,def
4155,def
4156,def
4157,def
4158,def
4159,def
4160,def
4161,def
4162,def
4163,def
4164,def
4165,def
4166,def
4167,def
4168,def
4169,def
4170,def
4171,def
4172,def
4173,def
4174,def
4175,def
4176,def
4177,def
4178,def
4179,def
4180,def
4181,def
4182,def
4183,def
4184,def
4185,def
4186,def
4187,def
4188,def
4189,def
4190,def
4191,def
4192,def
4193,def
4194,def
4374,def
4375,def
4376,def
4377,def
4378,def
4379,def
4380,def
4381,def
4382,def
4383,def
4384,def
4385,def
4386,def
4387,def
4388,def
4389,def
4390,def
4391,def
4392,def
4393,def
4394,def
4395,def
4396,def
4397,def
4398,def
4399,def
4400,def
4401,def
4402,def
4403,def
4404,def
4405,def
4406,def
4407,def
4408,def
4409,def
4410,def
4411,def
4412,def
4413,def
4414,def
4415,def
4416,def
4417,def
4418,def
4419,def
4420,def
4421,def
4422,def
4423,def
4424,def
4425,def
4426,def
4427,def
4428,def
4429,def
4430,def
4431,def
4432,def
4433,def
4434,def
4435,def
4436,def
4437,def
4617,def
4618,def
4619,def
4620,def
4621,def
4622,def
4623,def
4624,def
4625,def
4626,def
4627,def
4628,def
4629,def
4630,def
4631,def
4632,def
4633,def
4634,def
4635,def
4636,def
4637,def
4638,def
4639,def
4640,def
4641,def
4642,def
4643,def
4644,def
4645,def
4646,def
4647,def
4648,def
4649,def
4650,def
4651,def
4652,def
4653,def
4654,def
4655,def
4656,def
4657,def
4658,def
4659,def
4660,def
4661,def
4662,def
4663,def
4664,def
4665,def
4666,def
4667,def
4668,def
4669,def
4670,def
4671,def
4672,def
4673,def
4674,def
4675,def
4676,def
4677,def
4678,def
4679,def
4680,def
4860,def
4861,def
4862,def
4863,def
4864,def
4865,def
4866,def
4867,def
4868,def
4869,def
4870,def
4871,def
4872,def
4873,def
4874,def
4875,def
4876,def
4877,def
4878,def
4879,def
4880,def
4881,def
4882,def
4883,def
4884,def
4885,def
4886,def
4887,def
4888,def
4889,def
4890,def
4891,def
4892,def
4893,def
4894,def
4895,def
4896,def
4897,def
4898,def
4899,def
4900,def
4901,def
4902,def
4903,def
4904,def
4905,def
4906,def
4907,def
4908,def
4909,def
4910,def
4911,def
4912,def
4913,def
4914,def
4915,def
4916,def
4917,def
4918,def
4919,def
4920,def
4921,def
4922,def
4923,def
5103,def
5104,def
5105,def
5106,def
5107,def
5108,def
5109,def
5110,def
5111,def
5112,def
5113,def
5114,def
5115,def
5116,def
5117,def
5118,def
5119,def
5120,def
5121,def
5122,def
5123,def
5124,def
5125,def
5126,def
5127,def
5128,def
5129,def
5130,def
5131,def
5132,def
5133,def
5134,def
5135,def
5136,def
5137,def
5138,def
5139,def
5140,def
5141,def
5142,def
5143,def
5144,def
5145,def
5146,def
5147,def
5148,def
5149,def
5150,def
5151,def
5152,def
5153,def
5154,def
5155,def
5156,def
5157,def
5158,def
5159,def
5160,def
5161,def
5162,def
5163,def
5164,def
5165,def
5166,def
5346,def
5347,def
5348,def
5349,def
5350,def
5351,def
5352,def
5353,def
5354,def
5355,def
5356,def
5357,def
5358,def
5359,def
5360,def
5361,def
5362,def
5363,def
5364,def
5365,def
5366,def
5367,def
5368,def
5369,def
5370,def
5371,def
5372,def
5373,def
5374,def
5375,def
5376,def
5377,def
5378,def
5379,def
5380,def
5381,def
5382,def
5383,def
5384,def
5385,def
5386,def
5387,def
5388,def
5389,def
5390,def
5391,def
5392,def
5393,def
5394,def
5395,def
5396,def
5397,def
5398,def
5399,def
5400,def
5401,def
5402,def
5403,def
5404,def
5405,def
5406,def
5407,def
5408,def
5409,def
5589,def
5590,def
5591,def
5592,def
5593,def
5594,def
5595,def
5596,def
5597,def
5598,def
5599,def
5600,def
5601,def
5602,def
5603,def
5604,def
5605,def
5606,def
5607,def
5608,def
5609,def
5610,def
5611,def
5612,def
5613,def
5614,def
5615,def
5616,def
5617,def
5618,def
5619,def
5620,def
5621,def
5622,def
5623,def
5624,def
5625,def
5626,def
5627,def
5628,def
5629,def
5630,def
5631,def
5632,def
5633,def
5634,def
5635,def
5636,def
5637,def
5638,def
5639,def
5640,def
5641,def
5642,def
5643,def
5644,def
5645,def
5646,def
5647,def
5648,def
5649,def
5650,def
5651,def
5652,def
5832,def
5833,def
5834,def
5835,def
5836,def
5837,def
5838,def
5839,def
5840,def
5841,def
5842,def
5843,def
5844,def
5845,def
5846,def
5847,def
5848,def
5849,def
5850,def
5851,def
5852,def
5853,def
5854,def
5855,def
5856,def
5857,def
5858,def
5859,def
5860,def
5861,def
5862,def
5863,def
5864,def
5865,def
5866,def
5867,def
5868,def
5869,def
5870,def
5871,def
5872,def
5873,def
5874,def
5875,def
5876,def
5877,def
5878,def
5879,def
5880,def
5881,def
5882,def
5883,def
5884,def
5885,def
5886,def
5887,def
5888,def
5889,def
5890,def
5891,def
5892,def
5893,def
5894,def
6075,def
6076,def
6077,def
6078,def
6079,def
6080,def
6081,def
6082,def
6083,def
6084,def
6085,def
6086,def
6087,def
6088,def
6089,def
6090,def
6091,def
6092,def
6093,def
6094,def
6095,def
6096,def
6097,def
6098,def
6099,def
6100,def
6101,def
6102,def
6103,def
6104,def
6105,def
6106,def
6107,def
6108,def
6109,def
6110,def
6111,def
6112,def
6113,def
6114,def
6115,def
6116,def
6117,def
6118,def
6119,def
6120,def
6121,def
